Gene name	Gene stable ID								
abu-1	WBGene00000024								
alh-2	WBGene00000108								
amt-1	WBGene00000133								
bli-6	WBGene00000256								
col-85	WBGene00000660								
col-95	WBGene00000670								
col-114	WBGene00000688							
col-143	WBGene00000716							
cpr-2	WBGene00000782								
dhs-7	WBGene00000971							
dhs-23	WBGene00000986								
fat-5	WBGene00001397							
ftn-1	WBGene00001500							
grd-13	WBGene00001702							
gst-12	WBGene00001760								
gst-29	WBGene00001777							
gst-33	WBGene00001781						
ifc-1	WBGene00002055								
ins-23	WBGene00002106								
ins-33	WBGene00002116						
ins-35	WBGene00002118						
mtl-1	WBGene00003473							
nas-6	WBGene00003525							
nex-4	WBGene00003591							
pgp-13	WBGene00004007						
sod-3	WBGene00004932							
spp-9	WBGene00004994								
spp-12	WBGene00004997						
sra-35	WBGene00005061						
srd-16	WBGene00005094								
srd-35	WBGene00005113							
srd-49	WBGene00005127								
srg-1	WBGene00005159								
srg-6	WBGene00005164								
srg-8	WBGene00005166								
srh-60	WBGene00005282								
srh-99	WBGene00005318								
srh-142	WBGene00005359								
srh-209	WBGene00005419								
sri-16	WBGene00005528								
sri-38	WBGene00005550								
sri-72	WBGene00005584								
srj-9	WBGene00005597								
srp-3	WBGene00005644								
srw-62	WBGene00005809								
srw-85	WBGene00005832								
srx-43	WBGene00005934								
str-7	WBGene00006075								
str-31	WBGene00006097								
str-68	WBGene00006130								
str-179	WBGene00006223								
sul-3	WBGene00006310								
tag-10	WBGene00006404								
oac-39	WBGene00006419								
tba-8	WBGene00006534								
twk-18	WBGene00006672								
ebp-3	WBGene00007062								
srxa-18	WBGene00007432								
C08F11.3	WBGene00007452								
C08F11.7	WBGene00007454								
ule-4	WBGene00007458								
C11G6.2	WBGene00007523								
hrg-7	WBGene00007605								
C17G1.2	WBGene00007649								
cest-8	WBGene00007691								
C28D4.8	WBGene00007795								
clec-201	WBGene00007821								
dmd-10	WBGene00007929								
C46C2.4	WBGene00008112								
C47F8.5	WBGene00008161								
cdr-2	WBGene00008296								
C55A1.4	WBGene00008322								
D1054.10	WBGene00008377								
ule-3	WBGene00008378								
D1086.6	WBGene00008393								
D2005.1	WBGene00008397								
cest-3	WBGene00008451								
acox-1.4	WBGene00008567								
F10C2.7	WBGene00008647								
rabr-4	WBGene00008671								
stdh-2	WBGene00008678								
spig-3	WBGene00008792								
cyp-13A11	WBGene00008809								
cyp-13A12	WBGene00008810								
sre-38	WBGene00008837								
F17B5.1	WBGene00008905								
F19H6.5	WBGene00008960								
F21H7.2	WBGene00009028								
F21H7.12	WBGene00009033								
F25D1.5	WBGene00009110								
F26D2.16	WBGene00009154								
F35E8.6	WBGene00009420								
F36D3.5	WBGene00009471								
F43D2.2	WBGene00009651								
msd-3	WBGene00009684								
F44E5.4	WBGene00009691								
F46A8.5	WBGene00009748								
srz-17	WBGene00009764								
F47G9.6	WBGene00009833								
F54B11.9	WBGene00010032								
lipl-1	WBGene00010062								
F54F7.3	WBGene00010065								
ssp-35	WBGene00010091								
nhr-193	WBGene00010215								
F58B4.5	WBGene00010238								
F58E6.6	WBGene00010255								
srm-3	WBGene00010273								
F59B2.12	WBGene00010314								
fbxa-96	WBGene00010360								
H25K10.4	WBGene00010413								
cdr-4	WBGene00010470								
hrg-2	WBGene00010473								
cyp-33D1	WBGene00010589								
cri-1	WBGene00010614								
cyp-14A2	WBGene00010706								
clec-258	WBGene00010928								
R04B5.6	WBGene00011004								
cyp-14A4	WBGene00011009								
R05H10.1	WBGene00011042								
R05H10.7	WBGene00011046								
arrd-11	WBGene00011052								
R07A4.3	WBGene00011074								
ubxn-5	WBGene00011336								
cest-1.1	WBGene00011362								
T03E6.8	WBGene00011397								
igdb-1	WBGene00011418								
pzf-1	WBGene00011505								
T07D10.3	WBGene00011583								
T11F9.7	WBGene00011710								
srt-57	WBGene00011818								
srz-99	WBGene00012028								
VY10G11R.1	WBGene00012159								
W02D9.7	WBGene00012213								
W04G5.7	WBGene00012267								
Y6E2A.4	WBGene00012398								
Y6G8.2	WBGene00012404								
Y20C6A.1	WBGene00012491								
nspe-5	WBGene00012594								
Y38H6C.23	WBGene00012634								
Y39G8B.7	WBGene00012727								
Y43F4A.3	WBGene00012798								
Y43F8B.10	WBGene00012820								
Y51A2A.4	WBGene00013060								
Y57G11B.5	WBGene00013297								
Y62H9A.4	WBGene00013392								
ule-5	WBGene00013394								
Y70C5B.1	WBGene00013491								
Y73F4A.2	WBGene00013515								
Y105C5A.12	WBGene00013636								
Y105C5A.13	WBGene00013637								
srbc-34	WBGene00013760								
fbxa-151	WBGene00013840								
ZC373.2	WBGene00013867								
clec-96	WBGene00013930								
scl-19	WBGene00013971								
nhr-244	WBGene00014186								
ZK1225.1	WBGene00014235								
Y39C12A.2	WBGene00014883								
Y70G10A.1	WBGene00014946								
ZC15.4	WBGene00014977								
srz-85	WBGene00015018								
cyp-34A10	WBGene00015045								
clec-52	WBGene00015052								
cyp-35A1	WBGene00015399								
C03G6.17	WBGene00015402								
C05E11.7	WBGene00015496								
C10A4.3	WBGene00015664								
C10G8.3	WBGene00015682								
C10G8.4	WBGene00015683								
C16C8.17	WBGene00015854								
C17C3.3	WBGene00015889								
C17G10.3	WBGene00015917								
ugt-66	WBGene00016013								
dod-3	WBGene00016052								
C27H5.6	WBGene00016175								
gsto-1	WBGene00016204								
sdz-3	WBGene00016211								
sre-14	WBGene00016579								
perm-4	WBGene00016638								
C45E5.3	WBGene00016666								
ilys-2	WBGene00016669								
ilys-3	WBGene00016670								
cyp-33C1	WBGene00016686								
cyp-33C2	WBGene00016697								
nep-3	WBGene00016778								
cyp-35A4	WBGene00016786								
djr-1.2	WBGene00016789								
cest-35.2	WBGene00016863								
E04F6.15	WBGene00017131								
F07C4.6	WBGene00017200								
F07G11.4	WBGene00017231								
ugt-36	WBGene00017315								
mps-4	WBGene00017323								
F13H6.4	WBGene00017432								
pud-1.1	WBGene00017499								
F21C10.11	WBGene00017660								
icmt-1	WBGene00017673								
F23F1.2	WBGene00017743								
F31F4.11	WBGene00017960								
F32B5.3	WBGene00017977								
clec-138	WBGene00018049								
srbc-3	WBGene00018053								
F35F10.7	WBGene00018057								
btb-16	WBGene00018195								
btb-17	WBGene00018200								
oac-24	WBGene00018211								
bath-13	WBGene00018223								
F41C3.1	WBGene00018267								
cyp-33E3	WBGene00018333								
F43C11.1	WBGene00018378								
F46H5.5	WBGene00018521								
F48C1.9	WBGene00018601								
F53C3.7	WBGene00018751								
