Term,Cluster,Genes Cluster #1,Genes Cluster #2,Genes Cluster #3,Associated Genes Found
polysaccharide biosynthetic process,Specific for Cluster #2,"[oac-24, oac-58]","[oac-10, oac-13, oac-15, oac-43, oac-51]",[oac-37],"[oac-10, oac-13, oac-15, oac-24, oac-37, oac-43, oac-51, oac-58]"
PERK-mediated unfolded protein response,Specific for Cluster #2,[],"[Y58A7A.5, clec-67, gst-38]",[],"[Y58A7A.5, clec-67, gst-38]"
innate immune response,None Specific Cluster,"[F07C4.6, F35E8.6, Y39G8B.7, cdr-4, cyp-35A5, fbxa-151, ilys-3]","[C17H12.6, F10A3.4, F11D11.3, F55G11.2, F55G11.8, K08D8.5, ZK218.3, comt-2, dod-17, drd-50, gst-38, irg-1, tag-293]","[C37A5.3, F08F3.4, T05B4.8, T05B4.9, cnc-6, lys-10, lys-5, lys-6, trf-1]","[C17H12.6, C37A5.3, F07C4.6, F08F3.4, F10A3.4, F11D11.3, F35E8.6, F55G11.2, F55G11.8, K08D8.5, T05B4.8, T05B4.9, Y39G8B.7, ZK218.3, cdr-4, cnc-6, comt-2, cyp-35A5, dod-17, drd-50, fbxa-151, gst-38, ilys-3, irg-1, lys-10, lys-5, lys-6, tag-293, trf-1]"
Glutathione metabolism,Specific for Cluster #2,[gsto-1],"[gst-2, gst-30, gst-38, gsto-2]",[],"[gst-2, gst-30, gst-38, gsto-1, gsto-2]"
Metabolism of xenobiotics by cytochrome P450,Specific for Cluster #2,[gsto-1],"[D2063.1, gst-2, gst-30, gst-38, gsto-2, sodh-2]",[],"[D2063.1, gst-2, gst-30, gst-38, gsto-1, gsto-2, sodh-2]"
Drug metabolism,Specific for Cluster #2,[gsto-1],"[D2063.1, gst-2, gst-30, gst-38, gsto-2, sodh-2]",[],"[D2063.1, gst-2, gst-30, gst-38, gsto-1, gsto-2, sodh-2]"
Biosynthesis of unsaturated fatty acids,Specific for Cluster #1,"[fat-5, stdh-2]",[],[fat-7],"[fat-5, fat-7, stdh-2]"
Longevity regulating pathway,Specific for Cluster #1,"[fat-5, lipl-4, mtl-1, sod-3]",[],[fat-7],"[fat-5, fat-7, lipl-4, mtl-1, sod-3]"
carboxylic acid biosynthetic process,None Specific Cluster,"[djr-1.2, fat-5, lipl-4, stdh-2]",[F01D4.8],"[elo-7, fat-7]","[F01D4.8, djr-1.2, elo-7, fat-5, fat-7, lipl-4, stdh-2]"
long-chain fatty acid biosynthetic process,Specific for Cluster #1,"[fat-5, lipl-4]",[],[],"[fat-5, lipl-4]"
sensory perception of chemical stimulus,Specific for Cluster #3,"[sra-35, sri-16]","[K10C9.4, cng-1, str-120]","[Y45G12C.10, cng-3, sra-13, srb-19, str-134, str-146, str-172, str-220, str-3]","[K10C9.4, Y45G12C.10, cng-1, cng-3, sra-13, sra-35, srb-19, sri-16, str-120, str-134, str-146, str-172, str-220, str-3]"
detection of chemical stimulus involved in sensory perception,Specific for Cluster #3,"[sra-35, sri-16]","[K10C9.4, str-120]","[Y45G12C.10, sra-13, srb-19, str-134, str-146, str-172, str-220, str-3]","[K10C9.4, Y45G12C.10, sra-13, sra-35, srb-19, sri-16, str-120, str-134, str-146, str-172, str-220, str-3]"
G protein-coupled olfactory receptor activity,Specific for Cluster #3,[],"[K10C9.4, str-120]","[Y45G12C.10, str-134, str-146, str-172, str-220, str-3]","[K10C9.4, Y45G12C.10, str-120, str-134, str-146, str-172, str-220, str-3]"
olfactory receptor activity,Specific for Cluster #3,[sra-35],"[K10C9.4, str-120]","[Y45G12C.10, sra-13, srb-19, str-134, str-146, str-172, str-220, str-3]","[K10C9.4, Y45G12C.10, sra-13, sra-35, srb-19, str-120, str-134, str-146, str-172, str-220, str-3]"
