Sample,longevity
SRR5871042,1
SRR5871043,1
SRR5871044,0
SRR5871045,0
SRR5871046,1
SRR5871047,1
SRR5871048,1
SRR5871049,1
SRR5871050,0
SRR5871051,0
SRR5871052,0
SRR8754548,1
SRR8754549,1
SRR8754550,1
SRR8754551,1
SRR8754552,1
SRR8754553,2
SRR8754554,2
SRR8754555,2
SRR8754556,2
SRR8754557,2
SRR8754558,2
SRR8754559,2
SRR8754560,2
SRR6308307,0
SRR6308308,0
SRR6308309,0
SRR6308310,0
SRR6308311,0
SRR6308312,0
SRR6308313,1
SRR6308314,1
SRR6308315,1
SRR6308316,1
SRR6308317,1
SRR6308318,1
SRR8582308,1
SRR8582309,1
SRR8582310,0
SRR8582311,2
SRR8582312,1
SRR8582313,1
SRR8582314,0
SRR8582315,2
SRR8582316,1
SRR8582317,1
SRR8582318,0
SRR8582319,2
SRR8582320,1
SRR8582321,1
SRR8582322,0
SRR8582323,2
SRR8241130,1
SRR8241131,1
SRR8241132,1
SRR8241133,1
SRR8241134,1
SRR8241135,2
SRR8241136,2
SRR8241137,2
SRR8241138,2
SRR8241139,2
SRR8241140,0
SRR8241141,0
SRR8241142,0
SRR8241143,0
SRR8241144,0
SRR6798206,0
SRR6798207,1
SRR6798208,1
SRR6798209,0
SRR6798210,1
SRR6798211,1
SRR6798212,0
SRR6798213,1
SRR6798214,1
SRR6798215,0
SRR6798216,1
SRR6798217,1
SRR6798218,0
SRR6798219,1
SRR6798220,1
SRR6798221,1
SRR6798222,0
SRR6798223,1
SRR6798224,1
SRR6798225,0
SRR6798226,1
SRR6798227,1
SRR6798228,1
SRR6798229,0
SRR6798230,1
SRR6798231,1
SRR6798232,0
SRR6798233,1
SRR6798234,1
SRR6798235,1
SRR6798236,0
SRR6798237,1
SRR6798238,1
