"Sample","Bioproject"
"SRR525286","PRJNA171150"
"SRR525287","PRJNA171150"
"SRR525288","PRJNA171150"
"SRR525289","PRJNA171150"
"SRR525290","PRJNA171150"
"SRR525291","PRJNA171150"
"SRR577049","PRJNA176153"
"SRR577050","PRJNA176153"
"SRR833240","PRJNA198476"
"SRR833241","PRJNA198476"
"SRR833242","PRJNA198476"
"SRR833243","PRJNA198476"
"SRR834594","PRJNA198785"
"SRR834595","PRJNA198785"
"SRR834596","PRJNA198785"
"SRR834597","PRJNA198785"
"SRR834598","PRJNA198785"
"SRR834599","PRJNA198785"
"SRR834600","PRJNA198785"
"SRR834601","PRJNA198785"
"SRR834602","PRJNA198785"
"SRR834603","PRJNA198785"
"SRR834604","PRJNA198785"
"SRR1198063","PRJNA241944"
"SRR1198064","PRJNA241944"
"SRR1198065","PRJNA241944"
"SRR1198066","PRJNA241944"
"SRR1198067","PRJNA241944"
"SRR1198068","PRJNA241944"
"SRR1198069","PRJNA241944"
"SRR1198070","PRJNA241944"
"SRR1198071","PRJNA241944"
"SRR1198072","PRJNA241944"
"SRR1198073","PRJNA241944"
"SRR1198074","PRJNA241944"
"SRR1501343","PRJNA253943"
"SRR1501344","PRJNA253943"
"SRR1501345","PRJNA253943"
"SRR1501346","PRJNA253943"
"SRR1501347","PRJNA253943"
"SRR1501348","PRJNA253943"
"SRR1501349","PRJNA253943"
"SRR1501350","PRJNA253943"
"SRR1501351","PRJNA253943"
"SRR1501352","PRJNA253943"
"SRR1501353","PRJNA253943"
"SRR1501354","PRJNA253943"
"SRR1536002","PRJNA257404"
"SRR1536003","PRJNA257404"
"SRR1536004","PRJNA257404"
"SRR1536005","PRJNA257404"
"SRR1536006","PRJNA257404"
"SRR1536007","PRJNA257404"
"SRR1536008","PRJNA257404"
"SRR1536009","PRJNA257404"
"SRR1536010","PRJNA257404"
"SRR1536011","PRJNA257404"
"SRR1536012","PRJNA257404"
"SRR1536013","PRJNA257404"
"SRR1536014","PRJNA257404"
"SRR1536015","PRJNA257404"
"SRR1536016","PRJNA257404"
"SRR1536017","PRJNA257404"
"SRR1536018","PRJNA257404"
"SRR1536019","PRJNA257404"
"SRR1536020","PRJNA257404"
"SRR1536021","PRJNA257404"
"SRR1536022","PRJNA257404"
"SRR1536023","PRJNA257404"
"SRR1536024","PRJNA257404"
"SRR1536025","PRJNA257404"
"SRR1536026","PRJNA257404"
"SRR1536027","PRJNA257404"
"SRR1536028","PRJNA257404"
"SRR1536029","PRJNA257404"
"SRR1536030","PRJNA257404"
"SRR1536031","PRJNA257404"
"SRR1536032","PRJNA257404"
"SRR1536033","PRJNA257404"
"SRR1536034","PRJNA257404"
"SRR1536035","PRJNA257404"
"SRR1536036","PRJNA257404"
"SRR1536037","PRJNA257404"
"SRR1536038","PRJNA257404"
"SRR1536039","PRJNA257404"
"SRR1536040","PRJNA257404"
"SRR1536041","PRJNA257404"
"SRR1536042","PRJNA257404"
"SRR1536043","PRJNA257404"
"SRR1536044","PRJNA257404"
"SRR1536045","PRJNA257404"
"SRR1536046","PRJNA257404"
"SRR1536047","PRJNA257404"
"SRR1536048","PRJNA257404"
"SRR1536049","PRJNA257404"
"SRR1536050","PRJNA257404"
"SRR1536051","PRJNA257404"
"SRR1536052","PRJNA257404"
"SRR1536053","PRJNA257404"
"SRR1536054","PRJNA257404"
"SRR1536055","PRJNA257404"
"SRR1536056","PRJNA257404"
"SRR1536057","PRJNA257404"
"SRR1556279","PRJNA259222"
"SRR1556280","PRJNA259222"
"SRR1556281","PRJNA259222"
"SRR1556282","PRJNA259222"
"SRR1556283","PRJNA259222"
"SRR1556284","PRJNA259222"
"SRR1578745","PRJNA261420"
"SRR1585277","PRJNA261970"
"SRR1585278","PRJNA261970"
"SRR1585279","PRJNA261970"
"SRR1585280","PRJNA261970"
"SRR1643945","PRJNA266552"
"SRR1643946","PRJNA266552"
"SRR1643947","PRJNA266552"
"SRR1643948","PRJNA266552"
"SRR1643949","PRJNA266552"
"SRR1643950","PRJNA266552"
"SRR1643951","PRJNA266552"
"SRR1643952","PRJNA266552"
"SRR1643953","PRJNA266552"
"SRR1643954","PRJNA266552"
"SRR1643955","PRJNA266552"
"SRR1643956","PRJNA266552"
"SRR1658963","PRJNA268148"
"SRR1658964","PRJNA268148"
"SRR1658965","PRJNA268148"
"SRR1658966","PRJNA268148"
"SRR1658967","PRJNA268148"
"SRR1658968","PRJNA268148"
"SRR1658969","PRJNA268148"
"SRR1658970","PRJNA268148"
"SRR1658971","PRJNA268148"
"SRR1658972","PRJNA268148"
"SRR1658973","PRJNA268148"
"SRR1658974","PRJNA268148"
"SRR1658975","PRJNA268148"
"SRR1658976","PRJNA268148"
"SRR1658977","PRJNA268148"
"SRR1658978","PRJNA268148"
"SRR1658979","PRJNA268148"
"SRR1658980","PRJNA268148"
"SRR1658981","PRJNA268148"
"SRR1658982","PRJNA268148"
"SRR1658983","PRJNA268148"
"SRR1658984","PRJNA268148"
"SRR1658985","PRJNA268148"
"SRR1658986","PRJNA268148"
"SRR1658987","PRJNA268148"
"SRR1658988","PRJNA268148"
